Rank,Spread,Model,Score,95% CI,Votes,Organization,License
1,1-7,claude-opus-4-5-20251101,1535,±32,372,Anthropic,Proprietary
2,1-11,claude-opus-4-5-20251101-thinking-32k,1517,±32,361,Anthropic,Proprietary
3,1-11,claude-sonnet-4-5-20250929-thinking-32k,1504,±18,1199,Anthropic,Proprietary
4,1-13,gemini-3-pro,1499,±22,756,Google,Proprietary
5,1-19,grok-4.1-thinking,1489,±23,685,xAI,Proprietary
6,1-19,claude-sonnet-4-5-20250929,1485,±20,905,Anthropic,Proprietary
7,1-31,gpt-5.1-high,1479,±26,543,OpenAI,Proprietary
8,2-22,claude-opus-4-1-20250805-thinking-16k,1476,±14,1832,Anthropic,Proprietary
9,4-34,qwen3-max-preview,1467,±17,1270,Alibaba,Proprietary
10,5-31,gemini-2.5-pro,1464,±11,3790,Google,Proprietary
11,2-43,gpt-5.1,1464,±24,672,OpenAI,Proprietary
12,2-47,qwen3-235b-a22b-thinking-2507,1461,±28,426,Alibaba,Apache 2.0
13,5-40,gpt-5-high,1459,±16,1656,OpenAI,Proprietary
14,5-39,claude-opus-4-1-20250805,1457,±13,2480,Anthropic,Proprietary
15,2-62,grok-4-1-fast-reasoning,1451,±38,247,xAI,Proprietary
16,7-49,gemini-2.5-flash-preview-09-2025,1448,±17,1258,Google,Proprietary
17,8-48,qwen3-235b-a22b-instruct-2507,1446,±13,2283,Alibaba,Apache 2.0
18,8-48,o3-2025-04-16,1444,±12,3042,OpenAI,Proprietary
19,5-54,kimi-k2-thinking-turbo,1443,±24,672,Moonshot,Modified MIT
20,8-49,claude-opus-4-20250514-thinking-16k,1443,±14,1768,Anthropic,Proprietary
21,4-67,ernie-5.0-preview-1022,1442,±35,273,Baidu,Proprietary
22,8-52,glm-4.6,1442,±19,1052,Z.ai,MIT
23,8-50,gpt-5-chat,1441,±16,1503,OpenAI,Proprietary
24,7-54,grok-4.1,1441,±22,743,xAI,Proprietary
25,5-62,qwen3-vl-235b-a22b-instruct,1440,±27,451,Alibaba,Apache 2.0
26,8-52,claude-haiku-4-5-20251001,1440,±18,1198,Anthropic,Proprietary
27,8-52,glm-4.5,1439,±18,1140,Z.ai,MIT
28,5-67,qwen3-vl-235b-a22b-thinking,1438,±30,383,Alibaba,Apache 2.0
29,7-69,deepseek-v3.2-exp-thinking,1435,±29,394,DeepSeek AI,MIT
30,11-57,grok-4-0709,1431,±14,2087,xAI,Proprietary
31,11-57,claude-sonnet-4-20250514-thinking-32k,1431,±14,1736,Anthropic,Proprietary
32,13-53,gemini-2.5-flash,1431,±11,3891,Google,Proprietary
33,8-69,deepseek-v3.1-thinking,1430,±25,540,DeepSeek,MIT
34,10-67,deepseek-v3.1,1429,±22,730,DeepSeek,MIT
35,13-59,claude-opus-4-20250514,1428,±13,2301,Anthropic,Proprietary
36,11-72,gpt-4.5-preview-2025-02-27,1426,±23,608,OpenAI,Proprietary
